Year,Size,Acc_type,Acc_value
Training_sample_huadong_2008_2010,70.00,acc_RF,0.9564230594643668
Training_sample_huadong_2008_2010,75.00,acc_test,0.9050359712230216
Training_sample_huadong_2008_2010,75.00,acc_RF,0.9553060792205041
Training_sample_huadong_2008_2010,80.00,acc_test,0.9100719424460432
Training_sample_huadong_2008_2010,80.00,acc_RF,0.9551231135822081
Training_sample_huadong_2008_2010,85.00,acc_test,0.9071942446043165
Training_sample_huadong_2008_2010,85.00,acc_RF,0.9562616822429907
Training_sample_huadong_2008_2010,90.00,acc_test,0.9093525179856116
Training_sample_huadong_2008_2010,90.00,acc_RF,0.9585172109443955
Training_sample_huadong_2008_2010,95.00,acc_test,0.9086330935251798
Training_sample_huadong_2008_2010,95.00,acc_RF,0.9575250836120401
Training_sample_huadong_2011_2013,0.10,acc_test,0.6356968215158925
Training_sample_huadong_2011_2013,0.10,acc_RF,0.6666666666666666
Training_sample_huadong_2011_2013,0.40,acc_test,0.8618581907090465
Training_sample_huadong_2011_2013,0.40,acc_RF,0.9166666666666666
Training_sample_huadong_2011_2013,0.70,acc_test,0.8887530562347188
Training_sample_huadong_2011_2013,0.70,acc_RF,0.9047619047619048
Training_sample_huadong_2011_2013,1.00,acc_test,0.8966992665036675
Training_sample_huadong_2011_2013,1.00,acc_RF,0.9166666666666666
Training_sample_huadong_2011_2013,1.50,acc_test,0.9070904645476773
Training_sample_huadong_2011_2013,1.50,acc_RF,0.9333333333333333
Training_sample_huadong_2011_2013,10.00,acc_test,0.9125916870415648
Training_sample_huadong_2011_2013,10.00,acc_RF,0.945364238410596
Training_sample_huadong_2011_2013,15.00,acc_test,0.9101466992665037
Training_sample_huadong_2011_2013,15.00,acc_RF,0.9470782800441014
Training_sample_huadong_2011_2013,2.00,acc_test,0.9015892420537898
Training_sample_huadong_2011_2013,2.00,acc_RF,0.9586776859504132
Training_sample_huadong_2011_2013,20.00,acc_test,0.9034229828850856
Training_sample_huadong_2011_2013,20.00,acc_RF,0.9512396694214876
Training_sample_huadong_2011_2013,25.00,acc_test,0.9083129584352079
Training_sample_huadong_2011_2013,25.00,acc_RF,0.9543650793650794
Training_sample_huadong_2011_2013,30.00,acc_test,0.9125916870415648
Training_sample_huadong_2011_2013,30.00,acc_RF,0.9559228650137741
Training_sample_huadong_2011_2013,35.00,acc_test,0.91320293398533
Training_sample_huadong_2011_2013,35.00,acc_RF,0.9560699102503543
Training_sample_huadong_2011_2013,40.00,acc_test,0.9113691931540342
Training_sample_huadong_2011_2013,40.00,acc_RF,0.9615543613063249
Training_sample_huadong_2011_2013,45.00,acc_test,0.9101466992665037
Training_sample_huadong_2011_2013,45.00,acc_RF,0.9606906686260103
Training_sample_huadong_2011_2013,5.00,acc_test,0.9070904645476773
Training_sample_huadong_2011_2013,5.00,acc_RF,0.956953642384106
Training_sample_huadong_2011_2013,50.00,acc_test,0.9119804400977995
Training_sample_huadong_2011_2013,50.00,acc_RF,0.9606611570247934
Training_sample_huadong_2011_2013,55.00,acc_test,0.9095354523227384
Training_sample_huadong_2011_2013,55.00,acc_RF,0.9606251878569282
Training_sample_huadong_2011_2013,60.00,acc_test,0.9138141809290954
Training_sample_huadong_2011_2013,60.00,acc_RF,0.9592286501377411
Training_sample_huadong_2011_2013,65.00,acc_test,0.9113691931540342
Training_sample_huadong_2011_2013,65.00,acc_RF,0.9580366225839267
Training_sample_huadong_2011_2013,70.00,acc_test,0.9113691931540342
Training_sample_huadong_2011_2013,70.00,acc_RF,0.9584415584415584
Training_sample_huadong_2011_2013,75.00,acc_test,0.9168704156479217
Training_sample_huadong_2011_2013,75.00,acc_RF,0.9583425170817721
Training_sample_huadong_2011_2013,80.00,acc_test,0.9138141809290954
Training_sample_huadong_2011_2013,80.00,acc_RF,0.9576446280991735
Training_sample_huadong_2011_2013,85.00,acc_test,0.9180929095354523
Training_sample_huadong_2011_2013,85.00,acc_RF,0.9585764294049008
Training_sample_huadong_2011_2013,90.00,acc_test,0.9162591687041565
Training_sample_huadong_2011_2013,90.00,acc_RF,0.9595959595959596
Training_sample_huadong_2011_2013,95.00,acc_test,0.921760391198044
Training_sample_huadong_2011_2013,95.00,acc_RF,0.9605011310248825
Training_sample_huadong_2014_2016,0.10,acc_test,0.7379310344827587
Training_sample_huadong_2014_2016,0.10,acc_RF,0.4
Training_sample_huadong_2014_2016,0.40,acc_test,0.8149425287356322
Training_sample_huadong_2014_2016,0.40,acc_RF,0.9130434782608695
Training_sample_huadong_2014_2016,0.70,acc_test,0.8339080459770115
